iter	Passed	Remaining
0	166	166579
1	183	91588
2	195	64990
3	208	51853
4	222	44191
5	235	39072
6	250	35485
7	265	32869
8	279	30775
9	293	29059
10	309	27807
11	322	26558
12	335	25467
13	349	24599
14	362	23818
15	369	22696
16	380	21995
17	394	21514
18	403	20843
19	415	20355
20	427	19948
21	439	19521
22	449	19097
23	460	18730
24	471	18398
25	481	18055
26	493	17767
27	505	17546
28	515	17265
29	527	17051
30	538	16822
31	548	16603
32	560	16418
33	571	16228
34	581	16043
35	593	15897
36	605	15766
37	615	15592
38	625	15411
39	635	15256
40	647	15137
41	657	15005
42	669	14894
43	679	14767
44	690	14645
45	701	14553
46	712	14443
47	722	14327
48	733	14230
49	744	14145
50	755	14052
51	766	13971
52	775	13857
53	784	13739
54	796	13678
55	809	13650
56	821	13596
57	833	13541
58	844	13472
59	855	13404
60	864	13315
61	874	13236
62	884	13156
63	895	13100
64	909	13080
65	916	12972
66	929	12947
67	935	12824
68	947	12784
69	955	12695
70	968	12668
71	980	12639
72	1005	12762
73	1016	12720
74	1027	12666
75	1040	12646
76	1051	12609
77	1063	12575
78	1076	12550
79	1088	12517
80	1100	12481
81	1112	12452
82	1125	12431
83	1137	12407
84	1149	12372
85	1162	12357
86	1171	12289
87	1183	12268
88	1196	12245
89	1210	12237
90	1224	12231
91	1238	12222
92	1250	12200
93	1264	12185
94	1278	12177
95	1293	12176
96	1307	12175
97	1323	12178
98	1336	12167
99	1350	12157
100	1362	12130
101	1377	12124
102	1393	12139
103	1411	12160
104	1426	12163
105	1441	12159
106	1455	12148
107	1467	12123
108	1479	12091
109	1490	12062
110	1504	12047
111	1518	12036
112	1532	12029
113	1546	12016
114	1564	12036
115	1586	12092
116	1606	12123
117	1623	12133
118	1641	12149
119	1667	12225
120	1685	12246
121	1703	12259
122	1727	12315
123	1754	12396
124	1771	12399
125	1784	12375
126	1797	12353
127	1814	12364
128	1831	12368
129	1861	12460
130	1882	12486
131	1900	12497
132	1917	12496
133	1931	12483
134	1946	12470
135	1959	12451
136	1974	12436
137	1988	12418
138	2001	12398
139	2013	12368
140	2025	12337
141	2036	12306
142	2048	12274
143	2059	12243
144	2067	12193
145	2079	12162
146	2091	12134
147	2101	12100
148	2113	12072
149	2124	12041
150	2136	12010
151	2147	11980
152	2158	11947
153	2168	11913
154	2178	11876
155	2188	11842
156	2198	11804
157	2209	11772
158	2220	11742
159	2230	11707
160	2240	11677
161	2249	11638
162	2260	11608
163	2272	11582
164	2282	11548
165	2292	11520
166	2303	11492
167	2314	11461
168	2325	11434
169	2337	11410
170	2347	11380
171	2358	11353
172	2369	11329
173	2381	11303
174	2393	11282
175	2405	11262
176	2416	11234
177	2427	11208
178	2438	11186
179	2450	11161
180	2461	11137
181	2473	11115
182	2486	11100
183	2498	11079
184	2509	11054
185	2522	11040
186	2537	11030
187	2553	11027
188	2566	11012
189	2578	10990
190	2592	10982
191	2609	10982
192	2628	10990
193	2642	10978
194	2657	10972
195	2672	10962
196	2686	10950
197	2702	10945
198	2717	10940
199	2733	10933
200	2748	10925
201	2763	10918
202	2781	10918
203	2797	10915
204	2812	10906
205	2827	10898
206	2838	10874
207	2852	10859
208	2864	10841
209	2878	10827
210	2891	10811
211	2905	10798
212	2917	10778
213	2929	10759
214	2941	10738
215	2952	10715
216	2964	10697
217	2976	10676
218	2987	10655
219	2999	10634
220	3013	10620
221	3025	10601
222	3035	10577
223	3047	10558
224	3060	10540
225	3071	10518
226	3082	10497
227	3095	10482
228	3108	10466
