equipment_id,equipment_type,location,install_date,last_service_date,next_scheduled_service,age_days,runtime_hours,temperature,vibration_level,power_consumption_kw,humidity_level,error_codes_count,manual_override,downtime_last_30d,service_priority,failure_within_7_days
5fe7722b-35b1-404a-bb88-d583e84e4927,HVAC,Building A,2023-08-05,2024-01-26,2024-03-31,742,5496.71,73.62,3.97,27.62,39.36,0,0,0.12,Medium,0
4a6183e5-ea5c-4ec6-b02f-ce76ff64b218,Boiler,Building A,2022-12-27,2023-01-26,2023-03-20,963,5279.04,85.11,2.13,17.37,41.0,1,0,1.13,Low,0
a468a5f4-ae04-4e03-9b61-357b8127fb7f,Boiler,Building A,2022-11-14,2024-10-13,2025-03-31,1006,5816.45,59.76,2.36,16.29,51.98,2,1,1.44,Low,0
92a669de-c658-49eb-b004-9b2b48de9609,Boiler,Building C,2023-11-12,2023-11-16,2024-01-25,643,4455.62,76.11,1.27,21.88,33.9,4,1,2.31,Low,0
4c6b5495-57dd-4347-b259-384f9890c600,Elevator,Building B,2024-06-14,2024-10-26,2024-12-18,428,3978.45,73.38,2.2,19.97,84.56,1,1,0.75,Low,0
60d7d229-da31-4a92-b123-5880ce6ffe9e,Generator,Warehouse 2,2021-09-07,2021-11-07,2022-04-03,1439,7778.31,86.94,3.33,24.41,85.31,0,0,0.44,High,0
2a278835-fe2f-4e65-8a10-464bafe818a0,Pump,Building A,2022-11-01,2025-01-29,2025-05-31,1019,4884.35,71.99,0.78,16.4,79.72,1,0,1.56,Medium,0
5d103595-2128-426f-a9d4-bcbc908d119d,HVAC,Building B,2023-09-20,2025-07-07,2025-10-04,696,5324.08,71.15,1.98,23.06,30.33,4,0,0.89,Low,0
7b588603-8989-487e-ae6e-f295fbb5ad13,Pump,Building C,2021-04-11,2022-10-16,2023-01-22,1588,3491.85,86.0,2.73,17.95,49.51,3,0,0.25,Medium,1
ec5d196d-e664-487a-a38d-dfb26561d3a0,Elevator,Warehouse 2,2023-07-17,2023-11-13,2024-03-19,761,5972.96,82.96,5.24,21.69,59.63,2,1,0.23,High,0
ec250707-17d4-4a63-96bc-0f5cec9eeced,Boiler,Building B,2023-05-13,2025-03-14,2025-04-27,826,5087.05,72.01,3.14,10.06,84.45,1,0,2.82,Medium,0
f6654516-45af-4c06-b18b-412edd000547,Generator,Warehouse 1,2021-09-12,2022-07-05,2022-12-27,1434,4191.51,69.98,4.37,21.64,78.22,0,1,4.46,Low,0
95a12afb-ba08-4cf0-b41f-4540f22c66ff,Pump,Warehouse 1,2024-03-01,2025-01-18,2025-03-25,533,6371.86,76.76,2.54,23.37,36.6,1,1,3.41,Low,0
487b3424-761c-44c8-bf58-edaa1023fce2,Boiler,Warehouse 2,2021-09-05,2023-12-09,2024-06-05,1441,2344.82,78.46,2.41,18.55,50.26,2,1,2.43,Low,0
0ff9317a-9d4d-4ba0-bc2d-1d0578933133,Elevator,Warehouse 2,2022-08-07,2024-10-27,2024-12-24,1105,5257.55,74.26,0.12,19.87,47.09,0,0,1.88,Medium,0
88adbcdb-4ed1-4ec2-b571-de5306ba04e3,Pump,Warehouse 2,2020-11-18,2022-08-29,2023-01-25,1732,4340.82,75.04,3.72,18.7,44.37,0,1,1.34,High,0
2e4ae0ce-a69c-48e7-aac1-62ce53fc52d7,HVAC,Building A,2023-05-09,2024-07-11,2024-10-17,830,6142.82,82.52,4.19,15.45,52.07,2,1,0.19,Low,0
0409caa8-b6a1-4f30-8d49-d28e90faad26,Pump,Building B,2022-06-10,2025-05-26,2025-08-31,1163,4506.57,84.23,5.56,24.37,31.0,1,0,2.07,Low,0
e77889b1-e151-43d8-a2ba-d68056536e33,HVAC,Building C,2023-12-29,2024-10-11,2024-12-30,596,5536.34,65.85,3.93,19.2,38.25,1,0,5.17,Low,0
7186f0fd-0d64-416b-9b03-c5156caabc0b,Elevator,Warehouse 2,2024-06-09,2025-06-16,2025-07-16,433,4643.25,80.56,4.57,22.63,63.31,1,1,0.2,Low,0
21a25824-f3a2-4b62-ba0e-cfac9b9a3869,HVAC,Building C,2024-02-21,2025-04-22,2025-08-08,542,3559.96,86.91,4.95,15.66,83.83,3,0,0.35,Low,1
1c5e4860-389c-4bf4-bc7a-bb2a7d4ea17e,Boiler,Building A,2020-12-20,2023-03-12,2023-04-28,1700,5226.29,83.47,3.26,13.92,71.51,1,0,2.49,Low,0
a8394c6b-1533-44c3-9496-827c27308e97,Pump,Warehouse 2,2021-04-15,2023-07-14,2023-11-29,1584,4248.82,63.7,4.15,26.34,80.95,2,0,0.92,High,0
c19b04eb-5673-404d-af90-77b3a4c09030,Elevator,Building C,2022-03-22,2024-06-14,2024-10-17,1243,4110.49,66.84,2.88,21.71,83.52,3,1,1.36,Medium,0
1938f381-cf99-4fc9-a5bf-39a7dfdd81af,Pump,Building A,2021-08-14,2021-11-14,2021-12-19,1463,5625.67,66.43,1.39,22.41,86.43,3,0,5.27,Low,0
9483f1a2-15b2-4ba9-bd73-db2cb371668c,HVAC,Building A,2023-06-16,2023-07-31,2023-09-16,792,5473.24,74.27,1.73,12.43,81.07,1,0,1.63,Medium,0
eb19bbf1-c1fc-4a4e-97ed-f424c5188989,HVAC,Warehouse 2,2021-07-30,2024-03-25,2024-06-17,1478,5173.18,78.85,1.67,20.77,66.9,1,0,1.46,Medium,0
ec8b1a79-14aa-4bbb-a6fd-090b10241a2a,Boiler,Warehouse 2,2022-07-08,2024-11-21,2025-04-04,1135,5357.79,80.61,4.62,25.27,51.57,2,0,4.04,Low,0
0a437820-ad9e-430b-aa6b-7e0846e62b0d,Pump,Building C,2022-04-27,2023-10-29,2023-12-11,1207,5023.93,83.72,5.16,20.04,69.0,3,0,0.94,Low,1
bdb6d507-d66a-4e9f-9351-6bc04e83ef36,Generator,Building A,2021-08-15,2022-05-14,2022-10-05,1462,5165.02,66.44,2.94,17.33,62.56,1,0,0.06,Low,0
9c82f34a-62c9-44c4-86d3-66bf344a1c0d,Generator,Warehouse 1,2021-08-17,2025-03-29,2025-08-19,1460,4106.88,71.65,5.34,20.64,42.95,1,0,0.11,Low,0
5b4d9337-9b83-45cb-99f2-68c2c08248ae,Boiler,Building A,2024-07-02,2025-06-19,2025-09-17,410,7389.04,93.43,5.05,24.14,88.55,1,0,3.17,Low,1
c2e42992-5419-44bb-bb3a-9326fe917e64,Pump,Building B,2024-01-31,2025-05-26,2025-08-06,563,4555.5,58.31,1.84,28.31,40.4,0,1,0.58,Low,0
1ad46b84-d3c4-460e-8d76-ae142498790d,Pump,Building C,2024-05-01,2025-04-13,2025-07-25,472,6765.45,79.05,1.11,24.59,87.29,3,1,0.57,Medium,0
4e518469-c8ea-4246-a733-307ea92df03a,Boiler,Warehouse 1,2021-03-31,2022-07-09,2022-08-22,1599,6266.91,67.92,3.67,23.87,58.45,0,0,1.35,Medium,0
22e53490-a0ff-478d-9fe8-0393b1bd4b3c,HVAC,Building A,2022-12-18,2024-04-05,2024-09-17,972,3705.06,73.95,0.01,13.5,66.95,1,0,0.94,Low,0
dd3526e2-9a46-4115-a2bf-5adc4d988a38,Boiler,Building A,2024-01-12,2024-02-19,2024-04-06,582,5058.51,98.48,3.61,24.55,39.78,0,0,2.06,Low,0
ade0a0a7-19dd-4a2a-aacc-878340bdd9ad,Boiler,Building B,2022-12-10,2023-01-17,2023-03-08,980,5069.8,71.15,3.17,23.31,53.29,2,1,5.68,Medium,0
4518cc94-7cfa-4111-ad4d-d9b5bf248751,Boiler,Warehouse 2,2021-11-22,2022-11-05,2023-02-23,1363,5439.33,73.92,2.27,21.04,49.14,1,0,3.37,Low,0
a0985347-06cd-420c-9461-7b67a35ac466,Elevator,Building C,2022-06-15,2025-04-28,2025-06-15,1158,4377.76,71.45,4.43,27.26,82.65,2,0,0.39,Low,0
b0c86c14-6272-442f-b91f-048363ad0f1d,Boiler,Building A,2020-12-02,2021-11-27,2022-03-04,1718,5747.29,81.1,2.97,20.59,52.32,3,0,1.12,High,0
d41126a3-65d1-49d9-b7ee-fd8231f7cdda,HVAC,Building B,2022-02-07,2022-08-24,2023-02-09,1286,5825.42,83.14,4.96,20.11,49.2,2,1,4.72,Medium,0
2811e2ac-6d4c-4fe2-b1f7-83f277482c6f,Boiler,Building A,2023-04-19,2024-07-17,2024-09-11,850,4728.96,68.87,5.87,25.33,56.91,1,0,2.23,Low,0
45782397-3912-4b3f-a8d9-33362e0e90db,HVAC,Warehouse 2,2021-04-01,2022-06-17,2022-09-08,1598,5770.68,81.67,1.95,19.96,62.97,2,1,0.25,Low,0
72a474be-a546-4ced-b155-0fc5036c7f28,Generator,Warehouse 2,2022-07-31,2025-04-05,2025-05-18,1112,5412.93,69.36,1.77,21.22,35.05,1,0,3.45,Medium,0
6de9c48a-bd78-4444-90e6-4b3daf832a02,Generator,Building A,2020-08-22,2024-06-02,2024-09-07,1820,4528.96,77.32,0.83,12.96,78.77,4,0,3.0,Medium,0
56960cdd-1341-4380-ad06-89b10d01369d,Boiler,Warehouse 1,2022-11-14,2023-03-03,2023-05-10,1006,2962.92,90.7,2.55,19.98,58.12,0,0,0.25,Medium,0
6c03369d-d76b-4cbc-93de-d88dc511fe92,Boiler,Warehouse 2,2021-03-21,2021-10-08,2022-01-24,1609,5322.72,66.73,3.78,27.66,87.73,1,1,4.06,Medium,0
