equipment_id,equipment_type,location,install_date,last_service_date,next_scheduled_service,age_days,runtime_hours,temperature,vibration_level,power_consumption_kw,humidity_level,error_codes_count,manual_override,downtime_last_30d,service_priority,failure_within_7_days
dda080ad-7ead-4676-92e2-b6d818addfcc,HVAC,Building A,2023-08-04,2024-01-26,2024-03-31,742,5496.71,73.62,3.97,27.62,39.36,0,0,0.12,Medium,0
ae06aedb-0777-4db1-9569-4100c15b0714,Boiler,Building A,2022-12-26,2023-01-25,2023-03-19,963,5279.04,85.11,2.13,17.37,41.0,1,0,1.13,Low,0
996075e0-3992-4692-972c-8c19f5a66494,Boiler,Building A,2022-11-14,2024-10-12,2025-03-30,1005,5816.45,59.76,2.36,16.29,51.98,2,1,1.44,Low,0
ad28b74b-5d3d-48dd-868a-414bef8e2822,Boiler,Building C,2023-11-11,2023-11-15,2024-01-24,643,4455.62,76.11,1.27,21.88,33.9,4,1,2.31,Low,0
20f85bff-9835-4c24-841b-6e16984d60a5,Elevator,Building B,2024-06-14,2024-10-26,2024-12-18,427,3978.45,73.38,2.2,19.97,84.56,1,1,0.75,Low,0
2a6a6d3f-e8d9-4df7-859b-25d3c3521729,Generator,Warehouse 2,2021-09-06,2021-11-06,2022-04-02,1439,7778.31,86.94,3.33,24.41,85.31,0,0,0.44,High,0
fc7f2bea-c73f-49ae-981d-0d84750e5852,Pump,Building A,2022-10-31,2025-01-28,2025-05-30,1019,4884.35,71.99,0.78,16.4,79.72,1,0,1.56,Medium,0
9ef3c060-c2f1-4889-aa7c-3fb0f942b93f,HVAC,Building B,2023-09-19,2025-07-06,2025-10-03,696,5324.08,71.15,1.98,23.06,30.33,4,0,0.89,Low,0
73f21f8a-d787-421c-ac39-f00c039dbf94,Pump,Building C,2021-04-11,2022-10-16,2023-01-22,1587,3491.85,86.0,2.73,17.95,49.51,3,0,0.25,Medium,1
a9fd7643-0fa0-472a-b72d-7954dd0b73a2,Elevator,Warehouse 2,2023-07-17,2023-11-13,2024-03-19,760,5972.96,82.96,5.24,21.69,59.63,2,1,0.23,High,0
1e0f7f59-a1c7-412c-a81c-902697ac476d,Boiler,Building B,2023-05-13,2025-03-13,2025-04-26,825,5087.05,72.01,3.14,10.06,84.45,1,0,2.82,Medium,0
60b1daab-c125-47da-b20b-269c16ce87fc,Generator,Warehouse 1,2021-09-11,2022-07-04,2022-12-26,1434,4191.51,69.98,4.37,21.64,78.22,0,1,4.46,Low,0
4c6b65f7-32dc-4b1e-b12d-2e050617e442,Pump,Warehouse 1,2024-02-29,2025-01-18,2025-03-25,533,6371.86,76.76,2.54,23.37,36.6,1,1,3.41,Low,0
f88a6f3b-c7f5-4357-b29d-425c39859458,Boiler,Warehouse 2,2021-09-04,2023-12-08,2024-06-04,1441,2344.82,78.46,2.41,18.55,50.26,2,1,2.43,Low,0
