equipment_id,equipment_type,location,age_days,runtime_hours,temperature,vibration_level,power_consumption_kw,humidity_level,error_codes_count,manual_override,downtime_last_30d,service_priority,failure_within_7_days
"b""_\xe7r+5\xb1@J\xbb\x88\xd5\x83\xe8NI'""",HVAC,Building A,742,5496.71,73.62,3.97,27.62,39.36,0,0,0.12,Medium,0
b'Ja\x83\xe5\xea\\N\xc6\xb0/\xcev\xffd\xb2\x18',Boiler,Building A,963,5279.04,85.11,2.13,17.37,41.0,1,0,1.13,Low,0
"b""\xa4h\xa5\xf4\xae\x04N\x03\x9ba5{\x81'\xfb\x7f""",Boiler,Building A,1006,5816.45,59.76,2.36,16.29,51.98,2,1,1.44,Low,0
b'\x92\xa6i\xde\xc6XI\xeb\xb0\x04\x9b+H\xde\x96\t',Boiler,Building C,643,4455.62,76.11,1.27,21.88,33.9,4,1,2.31,Low,0
b'LkT\x95W\xddCG\xb2Y8O\x98\x90\xc6\x00',Elevator,Building B,428,3978.45,73.38,2.2,19.97,84.56,1,1,0.75,Low,0
b'`\xd7\xd2)\xda1J\x92\xb1#X\x80\xceo\xfe\x9e',Generator,Warehouse 2,1439,7778.31,86.94,3.33,24.41,85.31,0,0,0.44,High,0
"b""*'\x885\xfe/Ne\x8a\x10FK\xaf\xe8\x18\xa0""",Pump,Building A,1019,4884.35,71.99,0.78,16.4,79.72,1,0,1.56,Medium,0
b']\x105\x95!(Bo\xa9\xd4\xbc\xbc\x90\x8d\x11\x9d',HVAC,Building B,696,5324.08,71.15,1.98,23.06,30.33,4,0,0.89,Low,0
b'{X\x86\x03\x89\x89H~\xaen\xf2\x95\xfb\xb5\xad\x13',Pump,Building C,1588,3491.85,86.0,2.73,17.95,49.51,3,0,0.25,Medium,1
b'\xec]\x19m\xe6dHz\xa3\x8d\xdf\xb2ea\xd3\xa0',Elevator,Warehouse 2,761,5972.96,82.96,5.24,21.69,59.63,2,1,0.23,High,0
b'\xec%\x07\x07\x17\xd4Jc\x96\xbc\x0f\\\xec\x9e\xec\xed',Boiler,Building B,826,5087.05,72.01,3.14,10.06,84.45,1,0,2.82,Medium,0
b'\xf6eE\x16E\xafL\x06\xb1\x8bA.\xdd\x00\x05G',Generator,Warehouse 1,1434,4191.51,69.98,4.37,21.64,78.22,0,1,4.46,Low,0
"b'\x95\xa1*\xfb\xba\x08L\xf0\xb4\x1fE@\xf2,f\xff'",Pump,Warehouse 1,533,6371.86,76.76,2.54,23.37,36.6,1,1,3.41,Low,0
b'H{4$v\x1cD\xc8\xbfX\xed\xaa\x10#\xfc\xe2',Boiler,Warehouse 2,1441,2344.82,78.46,2.41,18.55,50.26,2,1,2.43,Low,0
b'\x0f\xf91z\x9dMK\xa0\xbc-\x1d\x05x\x9313',Elevator,Warehouse 2,1105,5257.55,74.26,0.12,19.87,47.09,0,0,1.88,Medium,0
b'\x88\xad\xbc\xdbN\xd1N\xc2\xb5q\xdeS\x06\xba\x04\xe3',Pump,Warehouse 2,1732,4340.82,75.04,3.72,18.7,44.37,0,1,1.34,High,0
b'.J\xe0\xce\xa6\x9cH\xe7\xaa\xc1b\xceS\xfcR\xd7',HVAC,Building A,830,6142.82,82.52,4.19,15.45,52.07,2,1,0.19,Low,0
b'\x04\t\xca\xa8\xb6\xa1O0\x8dI\xd2\x8e\x90\xfa\xad&',Pump,Building B,1163,4506.57,84.23,5.56,24.37,31.0,1,0,2.07,Low,0
b'\xe7x\x89\xb1\xe1QC\xd8\xa2\xba\xd6\x80VSn3',HVAC,Building C,596,5536.34,65.85,3.93,19.2,38.25,1,0,5.17,Low,0
b'q\x86\xf0\xfd\rdAk\x9b\x03\xc5\x15l\xaa\xbc\x0b',Elevator,Warehouse 2,433,4643.25,80.56,4.57,22.63,63.31,1,1,0.2,Low,0
b'!\xa2X$\xf3\xa2Kb\xba\x0e\xcf\xac\x9b\x9a8i',HVAC,Building C,542,3559.96,86.91,4.95,15.66,83.83,3,0,0.35,Low,1
b'\x1c^H`8\x9cK\xf4\xbcz\xbb*}N\xa1~',Boiler,Building A,1700,5226.29,83.47,3.26,13.92,71.51,1,0,2.49,Low,0
"b""\xa89Lk\x153D\xc3\x94\x96\x82|'0\x8e\x97""",Pump,Warehouse 2,1584,4248.82,63.7,4.15,26.34,80.95,2,0,0.92,High,0
b'\xc1\x9b\x04\xebVs@M\xaf\x90w\xb3\xa4\xc0\x900',Elevator,Building C,1243,4110.49,66.84,2.88,21.71,83.52,3,1,1.36,Medium,0
b'\x198\xf3\x81\xcf\x99O\xc9\xa5\xbf9\xa7\xdf\xdd\x81\xaf',Pump,Building A,1463,5625.67,66.43,1.39,22.41,86.43,3,0,5.27,Low,0
"b'\x94\x83\xf1\xa2\x15\xb2K\xa9\xbds\xdb,\xb3qf\x8c'",HVAC,Building A,792,5473.24,74.27,1.73,12.43,81.07,1,0,1.63,Medium,0
b'\xeb\x19\xbb\xf1\xc1\xfcJN\x97\xed\xf4$\xc5\x18\x89\x89',HVAC,Warehouse 2,1478,5173.18,78.85,1.67,20.77,66.9,1,0,1.46,Medium,0
b'\xec\x8b\x1ay\x14\xaaK\xbb\xa6\xfd\t\x0b\x10$\x1a*',Boiler,Warehouse 2,1135,5357.79,80.61,4.62,25.27,51.57,2,0,4.04,Low,0
b'\nCx \xad\x9eC\x0b\xaak~\x08F\xe6+\r',Pump,Building C,1207,5023.93,83.72,5.16,20.04,69.0,3,0,0.94,Low,1
b'\xbd\xb6\xd5\x07\xd6jN\x9f\x93Qk\xc0N\x83\xef6',Generator,Building A,1462,5165.02,66.44,2.94,17.33,62.56,1,0,0.06,Low,0
b'\x9c\x82\xf3Jb\xc9D\xc4\x86\xd3f\xbf4J\x1c\r',Generator,Warehouse 1,1460,4106.88,71.65,5.34,20.64,42.95,1,0,0.11,Low,0
b'[M\x937\x9b\x83E\xcb\x99\xf2h\xc2\xc0\x82H\xae',Boiler,Building A,410,7389.04,93.43,5.05,24.14,88.55,1,0,3.17,Low,1
b'\xc2\xe4)\x92T\x19D\xbb\xbb:\x93&\xfe\x91~d',Pump,Building B,563,4555.5,58.31,1.84,28.31,40.4,0,1,0.58,Low,0
b'\x1a\xd4k\x84\xd3\xc4F\x0e\x8dv\xae\x14$\x98y\r',Pump,Building C,472,6765.45,79.05,1.11,24.59,87.29,3,1,0.57,Medium,0
b'NQ\x84i\xc8\xeaBF\xa730~\xa9-\xf0:',Boiler,Warehouse 1,1599,6266.91,67.92,3.67,23.87,58.45,0,0,1.35,Medium,0
"b'""\xe54\x90\xa0\xffG\x8d\x9f\xe8\x03\x93\xb1\xbdK<'",HVAC,Building A,972,3705.06,73.95,0.01,13.5,66.95,1,0,0.94,Low,0
