iter	Passed	Remaining
0	6	615
1	11	586
2	17	569
3	23	557
4	29	554
5	35	549
6	41	549
7	47	543
8	53	543
9	59	534
10	65	529
11	71	523
12	77	518
13	84	516
14	89	509
15	95	503
16	101	495
17	107	489
18	113	483
19	119	476
20	124	469
21	130	462
22	135	455
23	141	448
24	147	442
25	153	436
26	158	429
27	164	422
28	169	415
29	175	408
30	180	402
31	186	396
32	192	390
33	197	384
34	203	378
35	209	373
36	216	367
37	221	361
38	228	356
39	233	350
40	239	345
41	246	339
42	251	333
43	257	327
44	263	322
45	269	316
46	275	310
47	280	304
48	286	298
49	292	292
50	298	286
51	303	280
52	309	274
53	315	268
54	321	262
55	327	256
56	333	251
57	339	245
58	345	240
59	351	234
60	357	228
61	363	222
62	369	216
63	375	211
64	381	205
65	387	199
66	393	193
67	399	187
68	404	181
69	411	176
70	416	170
71	422	164
72	428	158
73	434	152
74	440	146
75	446	140
76	452	135
77	458	129
78	464	123
79	470	117
80	476	111
81	482	105
82	488	100
83	494	94
84	499	88
85	505	82
86	511	76
87	517	70
88	522	64
89	528	58
90	534	52
91	540	46
92	545	41
93	551	35
94	557	29
95	562	23
96	568	17
97	574	11
98	580	5
99	585	0
